condition,task,threshold_class,num_images,TP,TN,FP,FN,sensitivity,specificity,precision,NPV,F1,accuracy
clean_test,any_caries_cls_ge_1,1,187,115,30,24,18,0.8646616541353384,0.5555555555555556,0.8273381294964028,0.625,0.8455882352941175,0.7754010695187166
clean_test,moderate_or_severe_cls_ge_2,2,187,44,97,16,30,0.5945945945945946,0.8584070796460177,0.7333333333333333,0.7637795275590551,0.6567164179104478,0.7540106951871658
clean_test,severe_caries_cls_ge_3,3,187,28,143,7,9,0.7567567567567568,0.9533333333333334,0.8,0.9407894736842105,0.7777777777777778,0.9144385026737968
color_shift_medium,any_caries_cls_ge_1,1,187,121,30,24,12,0.9097744360902256,0.5555555555555556,0.8344827586206897,0.7142857142857143,0.8705035971223022,0.8074866310160428
color_shift_medium,moderate_or_severe_cls_ge_2,2,187,36,103,10,38,0.4864864864864865,0.911504424778761,0.782608695652174,0.7304964539007093,0.6000000000000001,0.7433155080213903
color_shift_medium,severe_caries_cls_ge_3,3,187,20,144,6,17,0.5405405405405406,0.96,0.7692307692307693,0.8944099378881988,0.6349206349206349,0.8770053475935828
color_shift_mild,any_caries_cls_ge_1,1,187,122,28,26,11,0.9172932330827067,0.5185185185185185,0.8243243243243243,0.717948717948718,0.8683274021352313,0.8021390374331551
color_shift_mild,moderate_or_severe_cls_ge_2,2,187,42,99,14,32,0.5675675675675675,0.8761061946902655,0.75,0.7557251908396947,0.6461538461538462,0.7540106951871658
color_shift_mild,severe_caries_cls_ge_3,3,187,25,143,7,12,0.6756756756756757,0.9533333333333334,0.78125,0.9225806451612903,0.7246376811594203,0.8983957219251337
color_shift_severe,any_caries_cls_ge_1,1,187,122,30,24,11,0.9172932330827067,0.5555555555555556,0.8356164383561644,0.7317073170731707,0.8745519713261649,0.8128342245989305
color_shift_severe,moderate_or_severe_cls_ge_2,2,187,34,101,12,40,0.4594594594594595,0.8938053097345132,0.7391304347826086,0.7163120567375887,0.5666666666666667,0.7219251336898396
color_shift_severe,severe_caries_cls_ge_3,3,187,17,144,6,20,0.4594594594594595,0.96,0.7391304347826086,0.8780487804878049,0.5666666666666667,0.8609625668449198
contrast_shift_medium,any_caries_cls_ge_1,1,187,112,33,21,21,0.8421052631578947,0.6111111111111112,0.8421052631578947,0.6111111111111112,0.8421052631578947,0.7754010695187166
contrast_shift_medium,moderate_or_severe_cls_ge_2,2,187,30,105,8,44,0.40540540540540543,0.9292035398230089,0.7894736842105263,0.7046979865771812,0.5357142857142857,0.7219251336898396
contrast_shift_medium,severe_caries_cls_ge_3,3,187,19,148,2,18,0.5135135135135135,0.9866666666666667,0.9047619047619048,0.891566265060241,0.6551724137931034,0.893048128342246
contrast_shift_mild,any_caries_cls_ge_1,1,187,116,32,22,17,0.8721804511278195,0.5925925925925926,0.8405797101449275,0.6530612244897959,0.8560885608856088,0.7914438502673797
contrast_shift_mild,moderate_or_severe_cls_ge_2,2,187,37,101,12,37,0.5,0.8938053097345132,0.7551020408163265,0.7318840579710145,0.6016260162601625,0.7379679144385026
contrast_shift_mild,severe_caries_cls_ge_3,3,187,24,144,6,13,0.6486486486486487,0.96,0.8,0.9171974522292994,0.7164179104477612,0.8983957219251337
contrast_shift_severe,any_caries_cls_ge_1,1,187,104,39,15,29,0.7819548872180451,0.7222222222222222,0.8739495798319328,0.5735294117647058,0.8253968253968254,0.7647058823529411
contrast_shift_severe,moderate_or_severe_cls_ge_2,2,187,24,110,3,50,0.32432432432432434,0.9734513274336283,0.8888888888888888,0.6875,0.4752475247524753,0.7165775401069518
contrast_shift_severe,severe_caries_cls_ge_3,3,187,13,150,0,24,0.35135135135135137,1.0,1.0,0.8620689655172413,0.52,0.8716577540106952
gaussian_blur_medium,any_caries_cls_ge_1,1,187,117,29,25,16,0.8796992481203008,0.5370370370370371,0.823943661971831,0.6444444444444445,0.850909090909091,0.7807486631016043
gaussian_blur_medium,moderate_or_severe_cls_ge_2,2,187,46,99,14,28,0.6216216216216216,0.8761061946902655,0.7666666666666667,0.7795275590551181,0.6865671641791045,0.7754010695187166
gaussian_blur_medium,severe_caries_cls_ge_3,3,187,27,142,8,10,0.7297297297297297,0.9466666666666667,0.7714285714285715,0.9342105263157895,0.75,0.9037433155080213
gaussian_blur_mild,any_caries_cls_ge_1,1,187,117,30,24,16,0.8796992481203008,0.5555555555555556,0.8297872340425532,0.6521739130434783,0.854014598540146,0.786096256684492
gaussian_blur_mild,moderate_or_severe_cls_ge_2,2,187,46,98,15,28,0.6216216216216216,0.8672566371681416,0.7540983606557377,0.7777777777777778,0.6814814814814815,0.7700534759358288
gaussian_blur_mild,severe_caries_cls_ge_3,3,187,27,141,9,10,0.7297297297297297,0.94,0.75,0.9337748344370861,0.7397260273972601,0.8983957219251337
gaussian_blur_severe,any_caries_cls_ge_1,1,187,117,32,22,16,0.8796992481203008,0.5925925925925926,0.841726618705036,0.6666666666666666,0.8602941176470588,0.7967914438502673
gaussian_blur_severe,moderate_or_severe_cls_ge_2,2,187,47,104,9,27,0.6351351351351351,0.9203539823008849,0.8392857142857143,0.7938931297709924,0.723076923076923,0.8074866310160428
gaussian_blur_severe,severe_caries_cls_ge_3,3,187,27,142,8,10,0.7297297297297297,0.9466666666666667,0.7714285714285715,0.9342105263157895,0.75,0.9037433155080213
jpeg_compression_medium,any_caries_cls_ge_1,1,187,114,31,23,19,0.8571428571428571,0.5740740740740741,0.8321167883211679,0.62,0.8444444444444443,0.7754010695187166
jpeg_compression_medium,moderate_or_severe_cls_ge_2,2,187,39,103,10,35,0.527027027027027,0.911504424778761,0.7959183673469388,0.7463768115942029,0.6341463414634146,0.7593582887700535
jpeg_compression_medium,severe_caries_cls_ge_3,3,187,26,143,7,11,0.7027027027027027,0.9533333333333334,0.7878787878787878,0.9285714285714286,0.7428571428571429,0.9037433155080213
jpeg_compression_mild,any_caries_cls_ge_1,1,187,115,31,23,18,0.8646616541353384,0.5740740740740741,0.8333333333333334,0.6326530612244898,0.8487084870848708,0.7807486631016043
jpeg_compression_mild,moderate_or_severe_cls_ge_2,2,187,45,99,14,29,0.6081081081081081,0.8761061946902655,0.7627118644067796,0.7734375,0.6766917293233082,0.7700534759358288
jpeg_compression_mild,severe_caries_cls_ge_3,3,187,27,143,7,10,0.7297297297297297,0.9533333333333334,0.7941176470588235,0.934640522875817,0.7605633802816901,0.9090909090909091
jpeg_compression_severe,any_caries_cls_ge_1,1,187,109,32,22,24,0.8195488721804511,0.5925925925925926,0.8320610687022901,0.5714285714285714,0.8257575757575759,0.7540106951871658
jpeg_compression_severe,moderate_or_severe_cls_ge_2,2,187,41,105,8,33,0.5540540540540541,0.9292035398230089,0.8367346938775511,0.7608695652173914,0.6666666666666666,0.7807486631016043
jpeg_compression_severe,severe_caries_cls_ge_3,3,187,25,146,4,12,0.6756756756756757,0.9733333333333334,0.8620689655172413,0.9240506329113924,0.7575757575757576,0.9144385026737968
low_light_medium,any_caries_cls_ge_1,1,187,120,30,24,13,0.9022556390977443,0.5555555555555556,0.8333333333333334,0.6976744186046512,0.8664259927797833,0.8021390374331551
low_light_medium,moderate_or_severe_cls_ge_2,2,187,45,96,17,29,0.6081081081081081,0.8495575221238938,0.7258064516129032,0.768,0.6617647058823529,0.7540106951871658
low_light_medium,severe_caries_cls_ge_3,3,187,28,142,8,9,0.7567567567567568,0.9466666666666667,0.7777777777777778,0.9403973509933775,0.7671232876712328,0.9090909090909091
low_light_mild,any_caries_cls_ge_1,1,187,117,31,23,16,0.8796992481203008,0.5740740740740741,0.8357142857142857,0.6595744680851063,0.8571428571428571,0.7914438502673797
low_light_mild,moderate_or_severe_cls_ge_2,2,187,43,97,16,31,0.581081081081081,0.8584070796460177,0.7288135593220338,0.7578125,0.6466165413533834,0.7486631016042781
low_light_mild,severe_caries_cls_ge_3,3,187,27,142,8,10,0.7297297297297297,0.9466666666666667,0.7714285714285715,0.9342105263157895,0.75,0.9037433155080213
low_light_severe,any_caries_cls_ge_1,1,187,120,28,26,13,0.9022556390977443,0.5185185185185185,0.821917808219178,0.6829268292682927,0.8602150537634409,0.7914438502673797
low_light_severe,moderate_or_severe_cls_ge_2,2,187,45,92,21,29,0.6081081081081081,0.8141592920353983,0.6818181818181818,0.7603305785123967,0.6428571428571428,0.732620320855615
low_light_severe,severe_caries_cls_ge_3,3,187,28,140,10,9,0.7567567567567568,0.9333333333333333,0.7368421052631579,0.9395973154362416,0.7466666666666667,0.8983957219251337
motion_blur_medium,any_caries_cls_ge_1,1,187,119,31,23,14,0.8947368421052632,0.5740740740740741,0.8380281690140845,0.6888888888888889,0.8654545454545454,0.8021390374331551
motion_blur_medium,moderate_or_severe_cls_ge_2,2,187,46,96,17,28,0.6216216216216216,0.8495575221238938,0.7301587301587301,0.7741935483870968,0.6715328467153284,0.7593582887700535
motion_blur_medium,severe_caries_cls_ge_3,3,187,28,141,9,9,0.7567567567567568,0.94,0.7567567567567568,0.94,0.7567567567567567,0.9037433155080213
motion_blur_mild,any_caries_cls_ge_1,1,187,118,28,26,15,0.8872180451127819,0.5185185185185185,0.8194444444444444,0.6511627906976745,0.8519855595667869,0.7807486631016043
motion_blur_mild,moderate_or_severe_cls_ge_2,2,187,47,95,18,27,0.6351351351351351,0.8407079646017699,0.7230769230769231,0.7786885245901639,0.6762589928057553,0.7593582887700535
motion_blur_mild,severe_caries_cls_ge_3,3,187,27,141,9,10,0.7297297297297297,0.94,0.75,0.9337748344370861,0.7397260273972601,0.8983957219251337
motion_blur_severe,any_caries_cls_ge_1,1,187,113,30,24,20,0.849624060150376,0.5555555555555556,0.8248175182481752,0.6,0.837037037037037,0.7647058823529411
motion_blur_severe,moderate_or_severe_cls_ge_2,2,187,43,103,10,31,0.581081081081081,0.911504424778761,0.8113207547169812,0.7686567164179104,0.6771653543307086,0.7807486631016043
motion_blur_severe,severe_caries_cls_ge_3,3,187,26,143,7,11,0.7027027027027027,0.9533333333333334,0.7878787878787878,0.9285714285714286,0.7428571428571429,0.9037433155080213
occlusion_medium,any_caries_cls_ge_1,1,187,111,31,23,22,0.8345864661654135,0.5740740740740741,0.8283582089552238,0.5849056603773585,0.8314606741573033,0.7593582887700535
occlusion_medium,moderate_or_severe_cls_ge_2,2,187,41,104,9,33,0.5540540540540541,0.9203539823008849,0.82,0.7591240875912408,0.6612903225806451,0.7754010695187166
occlusion_medium,severe_caries_cls_ge_3,3,187,26,144,6,11,0.7027027027027027,0.96,0.8125,0.9290322580645162,0.7536231884057971,0.9090909090909091
occlusion_mild,any_caries_cls_ge_1,1,187,113,31,23,20,0.849624060150376,0.5740740740740741,0.8308823529411765,0.6078431372549019,0.8401486988847584,0.7700534759358288
occlusion_mild,moderate_or_severe_cls_ge_2,2,187,43,99,14,31,0.581081081081081,0.8761061946902655,0.7543859649122807,0.7615384615384615,0.6564885496183206,0.7593582887700535
occlusion_mild,severe_caries_cls_ge_3,3,187,26,143,7,11,0.7027027027027027,0.9533333333333334,0.7878787878787878,0.9285714285714286,0.7428571428571429,0.9037433155080213
occlusion_severe,any_caries_cls_ge_1,1,187,113,32,22,20,0.849624060150376,0.5925925925925926,0.837037037037037,0.6153846153846154,0.8432835820895522,0.7754010695187166
occlusion_severe,moderate_or_severe_cls_ge_2,2,187,36,104,9,38,0.4864864864864865,0.9203539823008849,0.8,0.7323943661971831,0.6050420168067226,0.7486631016042781
occlusion_severe,severe_caries_cls_ge_3,3,187,24,146,4,13,0.6486486486486487,0.9733333333333334,0.8571428571428571,0.9182389937106918,0.7384615384615384,0.9090909090909091
over_exposure_medium,any_caries_cls_ge_1,1,187,116,27,27,17,0.8721804511278195,0.5,0.8111888111888111,0.6136363636363636,0.8405797101449276,0.7647058823529411
over_exposure_medium,moderate_or_severe_cls_ge_2,2,187,43,106,7,31,0.581081081081081,0.9380530973451328,0.86,0.7737226277372263,0.6935483870967741,0.7967914438502673
over_exposure_medium,severe_caries_cls_ge_3,3,187,26,144,6,11,0.7027027027027027,0.96,0.8125,0.9290322580645162,0.7536231884057971,0.9090909090909091
over_exposure_mild,any_caries_cls_ge_1,1,187,115,28,26,18,0.8646616541353384,0.5185185185185185,0.8156028368794326,0.6086956521739131,0.8394160583941607,0.7647058823529411
over_exposure_mild,moderate_or_severe_cls_ge_2,2,187,45,103,10,29,0.6081081081081081,0.911504424778761,0.8181818181818182,0.7803030303030303,0.6976744186046513,0.7914438502673797
over_exposure_mild,severe_caries_cls_ge_3,3,187,28,143,7,9,0.7567567567567568,0.9533333333333334,0.8,0.9407894736842105,0.7777777777777778,0.9144385026737968
over_exposure_severe,any_caries_cls_ge_1,1,187,116,31,23,17,0.8721804511278195,0.5740740740740741,0.8345323741007195,0.6458333333333334,0.8529411764705883,0.786096256684492
over_exposure_severe,moderate_or_severe_cls_ge_2,2,187,42,103,10,32,0.5675675675675675,0.911504424778761,0.8076923076923077,0.762962962962963,0.6666666666666666,0.7754010695187166
over_exposure_severe,severe_caries_cls_ge_3,3,187,26,141,9,11,0.7027027027027027,0.94,0.7428571428571429,0.9276315789473685,0.7222222222222223,0.893048128342246
